Algoritmo,Numero de estado,Valores de h
Genetic Algorithm,89,16
Genetic Algorithm,90,8
Genetic Algorithm,91,17
Genetic Algorithm,92,15
Genetic Algorithm,93,17
Genetic Algorithm,94,20
Genetic Algorithm,95,10
Genetic Algorithm,96,11
Genetic Algorithm,97,17
Genetic Algorithm,98,17
Genetic Algorithm,99,19
Genetic Algorithm,100,21
Genetic Algorithm,101,11
Genetic Algorithm,102,14
Genetic Algorithm,103,17
Genetic Algorithm,104,14
Genetic Algorithm,105,12
Genetic Algorithm,106,14
Genetic Algorithm,107,12
Genetic Algorithm,108,11
Genetic Algorithm,109,10
Genetic Algorithm,110,12
Genetic Algorithm,111,9
Genetic Algorithm,112,10
Genetic Algorithm,113,16
Genetic Algorithm,114,17
Genetic Algorithm,115,14
Genetic Algorithm,116,15
Genetic Algorithm,117,7
Genetic Algorithm,118,16
Genetic Algorithm,119,10
Genetic Algorithm,120,15
Genetic Algorithm,121,13
Genetic Algorithm,122,15
Genetic Algorithm,123,15
Genetic Algorithm,124,13
Genetic Algorithm,125,21
Genetic Algorithm,126,14
Genetic Algorithm,127,11
Genetic Algorithm,128,13
Genetic Algorithm,129,10
Genetic Algorithm,130,10
Genetic Algorithm,131,17
Genetic Algorithm,132,8
Genetic Algorithm,133,14
Genetic Algorithm,134,15
Genetic Algorithm,135,17
Genetic Algorithm,136,16
Genetic Algorithm,137,16
Genetic Algorithm,138,13
Genetic Algorithm,139,16
Genetic Algorithm,140,11
Genetic Algorithm,141,20
Genetic Algorithm,142,16
Genetic Algorithm,143,23
Genetic Algorithm,144,14
Genetic Algorithm,145,11
Genetic Algorithm,146,14
Genetic Algorithm,147,13
Genetic Algorithm,148,16
Genetic Algorithm,149,11
Genetic Algorithm,150,20
Genetic Algorithm,151,12
Genetic Algorithm,152,14
Genetic Algorithm,153,12
Genetic Algorithm,154,9
Genetic Algorithm,155,15
Genetic Algorithm,156,13
Genetic Algorithm,157,13
Genetic Algorithm,158,14
Genetic Algorithm,159,14
Genetic Algorithm,160,21
Genetic Algorithm,161,13
Genetic Algorithm,162,9
Genetic Algorithm,163,18
Genetic Algorithm,164,13
Genetic Algorithm,165,11
Genetic Algorithm,166,15
Genetic Algorithm,167,11
Genetic Algorithm,168,12
Genetic Algorithm,169,11
Genetic Algorithm,170,11
Genetic Algorithm,171,11
Genetic Algorithm,172,11
Genetic Algorithm,173,13
Genetic Algorithm,174,13
Genetic Algorithm,175,13
Genetic Algorithm,176,13
Genetic Algorithm,177,14
Genetic Algorithm,178,10
Genetic Algorithm,179,12
Genetic Algorithm,180,11
Genetic Algorithm,181,14
Genetic Algorithm,182,18
Genetic Algorithm,183,13
Genetic Algorithm,184,21
Genetic Algorithm,185,21
Genetic Algorithm,186,12
Genetic Algorithm,187,11
Genetic Algorithm,188,13
Genetic Algorithm,189,9
Genetic Algorithm,190,18
Genetic Algorithm,191,13
Genetic Algorithm,192,18
Genetic Algorithm,193,14
Genetic Algorithm,194,14
Genetic Algorithm,195,17
Genetic Algorithm,196,17
Genetic Algorithm,197,9
Genetic Algorithm,198,18
Genetic Algorithm,199,9
Genetic Algorithm,200,13
Genetic Algorithm,201,12
Genetic Algorithm,202,11
Genetic Algorithm,203,16
Genetic Algorithm,204,18
Genetic Algorithm,205,17
Genetic Algorithm,206,13
Genetic Algorithm,207,8
Genetic Algorithm,208,22
Genetic Algorithm,209,14
Genetic Algorithm,210,9
Genetic Algorithm,211,9
Genetic Algorithm,212,14
Genetic Algorithm,213,14
Genetic Algorithm,214,10
Genetic Algorithm,215,21
Genetic Algorithm,216,10
Genetic Algorithm,217,11
Genetic Algorithm,218,11
Genetic Algorithm,219,9
Genetic Algorithm,220,10
Genetic Algorithm,221,16
Genetic Algorithm,222,15
Genetic Algorithm,223,16
Genetic Algorithm,224,22
Genetic Algorithm,225,10
Genetic Algorithm,226,11
Genetic Algorithm,227,28
Genetic Algorithm,228,14
Genetic Algorithm,229,13
Genetic Algorithm,230,14
Genetic Algorithm,231,10
Genetic Algorithm,232,12
Genetic Algorithm,233,12
Genetic Algorithm,234,10
Genetic Algorithm,235,14
Genetic Algorithm,236,13
Genetic Algorithm,237,16
Genetic Algorithm,238,15
Genetic Algorithm,239,11
Genetic Algorithm,240,11
Genetic Algorithm,241,9
Genetic Algorithm,242,12
Genetic Algorithm,243,16
Genetic Algorithm,244,16
Genetic Algorithm,245,15
Genetic Algorithm,246,13
Genetic Algorithm,247,13
Genetic Algorithm,248,13
Genetic Algorithm,249,8
Genetic Algorithm,250,14
Genetic Algorithm,251,7
Genetic Algorithm,252,13
Genetic Algorithm,253,18
Genetic Algorithm,254,9
Genetic Algorithm,255,9
Genetic Algorithm,256,12
Genetic Algorithm,257,12
Genetic Algorithm,258,14
Genetic Algorithm,259,13
Genetic Algorithm,260,13
Genetic Algorithm,261,15
Genetic Algorithm,262,19
Genetic Algorithm,263,14
Genetic Algorithm,264,14
Genetic Algorithm,265,15
Genetic Algorithm,266,12
Genetic Algorithm,267,9
Genetic Algorithm,268,15
Genetic Algorithm,269,12
Genetic Algorithm,270,11
Genetic Algorithm,271,12
Genetic Algorithm,272,15
Genetic Algorithm,273,12
Genetic Algorithm,274,17
Genetic Algorithm,275,15
Genetic Algorithm,276,11
Genetic Algorithm,277,15
Genetic Algorithm,278,11
Genetic Algorithm,279,13
Genetic Algorithm,280,12
Genetic Algorithm,281,13
Genetic Algorithm,282,11
Genetic Algorithm,283,8
Genetic Algorithm,284,11
Genetic Algorithm,285,8
Genetic Algorithm,286,10
Genetic Algorithm,287,7
Genetic Algorithm,288,9
Genetic Algorithm,289,12
Genetic Algorithm,290,13
Genetic Algorithm,291,13
Genetic Algorithm,292,9
Genetic Algorithm,293,12
Genetic Algorithm,294,12
Genetic Algorithm,295,12
Genetic Algorithm,296,17
Genetic Algorithm,297,14
Genetic Algorithm,298,13
Genetic Algorithm,299,13
Genetic Algorithm,300,11
Genetic Algorithm,301,13
Genetic Algorithm,302,12
Genetic Algorithm,303,13
Genetic Algorithm,304,13
Genetic Algorithm,305,13
Genetic Algorithm,306,17
Genetic Algorithm,307,13
Genetic Algorithm,308,14
Genetic Algorithm,309,9
Genetic Algorithm,310,14
Genetic Algorithm,311,15
Genetic Algorithm,312,12
Genetic Algorithm,313,12
Genetic Algorithm,314,12
Genetic Algorithm,315,8
Genetic Algorithm,316,10
Genetic Algorithm,317,14
Genetic Algorithm,318,10
Genetic Algorithm,319,11
Genetic Algorithm,320,13
Genetic Algorithm,321,11
Genetic Algorithm,322,11
Genetic Algorithm,323,10
Genetic Algorithm,324,13
Genetic Algorithm,325,9
Genetic Algorithm,326,9
Genetic Algorithm,327,14
Genetic Algorithm,328,13
Genetic Algorithm,329,15
Genetic Algorithm,330,11
Genetic Algorithm,331,12
Genetic Algorithm,332,8
Genetic Algorithm,333,10
Genetic Algorithm,334,13
Genetic Algorithm,335,10
Genetic Algorithm,336,15
Genetic Algorithm,337,17
Genetic Algorithm,338,12
Genetic Algorithm,339,12
Genetic Algorithm,340,15
Genetic Algorithm,341,15
Genetic Algorithm,342,27
Genetic Algorithm,343,11
Genetic Algorithm,344,10
Genetic Algorithm,345,9
Genetic Algorithm,346,9
Genetic Algorithm,347,15
Genetic Algorithm,348,13
Genetic Algorithm,349,15
Genetic Algorithm,350,12
Genetic Algorithm,351,9
Genetic Algorithm,352,15
Genetic Algorithm,353,16
Genetic Algorithm,354,17
Genetic Algorithm,355,17
Genetic Algorithm,356,16
Genetic Algorithm,357,14
Genetic Algorithm,358,19
Genetic Algorithm,359,11
Genetic Algorithm,360,12
Genetic Algorithm,361,10
Genetic Algorithm,362,9
Genetic Algorithm,363,11
Genetic Algorithm,364,9
Genetic Algorithm,365,18
Genetic Algorithm,366,13
Genetic Algorithm,367,15
Genetic Algorithm,368,16
Genetic Algorithm,369,11
Genetic Algorithm,370,16
Genetic Algorithm,371,9
